"year","region","pop","pop.lb","pop.ub"
2149,"IA",4132.31279082245,4106.63678318529,4160.84905841692
2149,"AF",10281.5477884578,9889.2977467915,10719.7975070447
2149,"LA",1498.51892512353,1476.02823163923,1523.42317230782
2150,"EU",166.86250779301,161.166000657371,172.509899811623
2150,"US",142.157374559419,137.836055331284,146.446771140974
2150,"OT",149.016472471094,145.855309190735,152.10703375301
2150,"EE",406.158832207902,402.691804099545,410.008630218035
2150,"CA",1190.89743097879,1178.70962639781,1202.9465581497
2150,"IA",4138.44036372596,4111.83289655122,4168.06029749244
2150,"AF",10367.9365379728,9959.09572777224,10826.1105886779
2150,"LA",1503.64817667467,1480.31034267918,1529.54521879067
2151,"EU",165.802880392744,159.948624838195,171.604436215284
2151,"US",141.35488533702,136.910432506327,145.763593901708
2151,"OT",148.442765761417,145.185205081412,151.624648100438
2151,"EE",406.938688752859,403.347954044468,410.933018663624
2151,"CA",1188.83208578583,1176.24551895956,1201.25874918349
2151,"IA",4144.52924046209,4116.97834501289,4175.2496754543
2151,"AF",10454.3141528159,10028.5451360793,10932.9149405749
2151,"LA",1508.75252346891,1484.55514780487,1535.66026668464
2152,"EU",164.759238027136,158.747080281251,170.715085772313
2152,"US",140.563960016264,135.99608991467,145.092163965185
2152,"OT",147.876362203327,144.521885503882,151.149924592853
2152,"EE",407.713811590664,403.997800183825,411.854935110919
2152,"CA",1186.78948754048,1173.80067707758,1199.5963973032
2152,"IA",4150.57961293649,4122.07355176679,4182.41720041703
2152,"AF",10540.6748111023,10097.6419777182,11040.2073084699
2152,"LA",1513.8319592261,1488.76283512332,1541.76819831398
