"Region","year","value","value.lb","value.ub"
"SEN",2016,14.6540591451312,14.6540591451312,14.6540591451312
"SGP",2016,5.50119451881738,5.50119451881738,5.50119451881738
"SLB",2016,0.619760706601102,0.619760706601102,0.619760706601102
"SLE",2016,6.7538206718735,6.7538206718735,6.7538206718735
"SLV",2016,6.45507848933451,6.45507848933451,6.45507848933451
"SOM",2016,10.7478122257096,10.7478122257096,10.7478122257096
"SRB",2016,9.78239108217053,9.78239108217053,9.78239108217053
"STP",2016,0.180715851164515,0.180715851164515,0.180715851164515
"SUR",2016,0.556873441012599,0.556873441012599,0.556873441012599
"SVK",2016,5.51099854941041,5.51099854941041,5.51099854941041
"SVN",2016,2.05219996102504,2.05219996102504,2.05219996102504
"SWE",2016,9.72676525499818,9.72676525499818,9.72676525499818
"SWZ",2016,1.28131731342892,1.28131731342892,1.28131731342892
"SYR",2016,22.8575071140196,22.8575071140196,22.8575071140196
"TCD",2016,13.2652226713014,13.2652226713014,13.2652226713014
"TGO",2016,6.79091342671769,6.79091342671769,6.79091342671769
"THA",2016,71.5734705550311,71.5734705550311,71.5734705550311
"TJK",2016,7.42562507328749,7.42562507328749,7.42562507328749
"TKM",2016,5.42414650616846,5.42414650616846,5.42414650616846
"TLS",2016,1.30591090336534,1.30591090336534,1.30591090336534
"TON",2016,0.109174189051838,0.109174189051838,0.109174189051838
"TTO",2016,1.37276666606299,1.37276666606299,1.37276666606299
"TUN",2016,11.1504487221011,11.1504487221011,11.1504487221011
"TUR",2016,78.5569216405009,78.5569216405009,78.5569216405009
"TWN",2016,23.3419831860594,23.3419831860594,23.3419831860594
"TZA",2016,53.3525256879039,53.3525256879039,53.3525256879039
"UGA",2016,41.0145145797683,41.0145145797683,41.0145145797683
"UKR",2016,43.9224459310367,43.9224459310367,43.9224459310367
"URY",2016,3.43131102194712,3.43131102194712,3.43131102194712
"USA",2016,322.209533819473,322.209533819473,322.209533819473
"UZB",2016,29.4269743902063,29.4269743902063,29.4269743902063
"VCT",2016,0.111593616749782,0.111593616749782,0.111593616749782
"VEN",2016,31.8485835263475,31.8485835263475,31.8485835263475
"VNM",2016,93.6553772674256,93.6553772674256,93.6553772674256
"VUT",2016,0.273931561348052,0.273931561348052,0.273931561348052
"WSM",2016,0.189766489941347,0.189766489941347,0.189766489941347
"YEM",2016,28.9465734344295,28.9465734344295,28.9465734344295
"ZAF",2016,52.5955455054286,52.5955455054286,52.5955455054286
"ZMB",2016,15.712564678442,15.712564678442,15.712564678442
"ZWE",2016,13.0297574732129,13.0297574732129,13.0297574732129
"ABW",2017,0.119364054318909,0.119364054318909,0.119364054318909
"AFG",2017,38.3142869636795,38.3142869636795,38.3142869636795
"AGO",2017,23.3621152872906,23.3621152872906,23.3621152872906
"ALB",2017,3.29179557187084,3.29179557187084,3.29179557187084
"ARE",2017,9.89244199039401,9.89244199039401,9.89244199039401
"ARG",2017,43.0439165620718,43.0439165620718,43.0439165620718
"ARM",2017,3.09959938067174,3.09959938067174,3.09959938067174
"AUS",2017,24.3609242798794,24.3609242798794,24.3609242798794
"AUT",2017,8.50558814025874,8.50558814025874,8.50558814025874
"AZE",2017,9.90923149728213,9.90923149728213,9.90923149728213
"BDI",2017,10.0897822143609,10.0897822143609,10.0897822143609
"BEL",2017,10.9608794526162,10.9608794526162,10.9608794526162
"BEN",2017,10.7503315987212,10.7503315987212,10.7503315987212
"BFA",2017,20.3367548808968,20.3367548808968,20.3367548808968
"BGD",2017,162.471036128505,162.471036128505,162.471036128505
"BGR",2017,7.20805278120872,7.20805278120872,7.20805278120872
"BHR",2017,1.67600863277134,1.67600863277134,1.67600863277134
"BHS",2017,0.373645799818393,0.373645799818393,0.373645799818393
"BIH",2017,3.74138841358265,3.74138841358265,3.74138841358265
"BLR",2017,9.3945736278693,9.3945736278693,9.3945736278693
"BLZ",2017,0.35483640512471,0.35483640512471,0.35483640512471
"BOL",2017,11.1752565183694,11.1752565183694,11.1752565183694
"BRA",2017,207.6479660591,207.6479660591,207.6479660591
"BRB",2017,0.277196109481806,0.277196109481806,0.277196109481806
"BRN",2017,0.443142243751042,0.443142243751042,0.443142243751042
"BTN",2017,0.825434646574436,0.825434646574436,0.825434646574436
"BWA",2017,2.13946906289319,2.13946906289319,2.13946906289319
"CAF",2017,5.03121827429857,5.03121827429857,5.03121827429857
"CAN",2017,35.9642757088611,35.9642757088611,35.9642757088611
"CHE",2017,7.88264189086588,7.88264189086588,7.88264189086588
"CHL",2017,18.2490479859488,18.2490479859488,18.2490479859488
"CHN",2017,1373.6094653964,1373.6094653964,1373.6094653964
"CIV",2017,22.7102475895633,22.7102475895633,22.7102475895633
"CMR",2017,22.7441422674854,22.7441422674854,22.7441422674854
"COD",2017,80.9315764261803,80.9315764261803,80.9315764261803
"COG",2017,4.79790994828963,4.79790994828963,4.79790994828963
"COL",2017,51.0061565221285,51.0061565221285,51.0061565221285
"COM",2017,0.876000406054336,0.876000406054336,0.876000406054336
"CPV",2017,0.533799217593898,0.533799217593898,0.533799217593898
"CRI",2017,5.14732206754335,5.14732206754335,5.14732206754335
"CUB",2017,11.2527994775067,11.2527994775067,11.2527994775067
"CYP",2017,1.19680487635573,1.19680487635573,1.19680487635573
"CZE",2017,10.6979596487162,10.6979596487162,10.6979596487162
"DEU",2017,81.2160154726495,81.2160154726495,81.2160154726495
"DJI",2017,0.998620316881316,0.998620316881316,0.998620316881316
"DNK",2017,5.65594702116982,5.65594702116982,5.65594702116982
"DOM",2017,10.8879484555214,10.8879484555214,10.8879484555214
"DZA",2017,39.4477351760354,39.4477351760354,39.4477351760354
"ECU",2017,16.0640525532682,16.0640525532682,16.0640525532682
"EGY",2017,91.5191519752169,91.5191519752169,91.5191519752169
"ERI",2017,6.35434663101117,6.35434663101117,6.35434663101117
"ESP",2017,47.5017334115471,47.5017334115471,47.5017334115471
"EST",2017,1.31996356223064,1.31996356223064,1.31996356223064
"ETH",2017,97.6524240463945,97.6524240463945,97.6524240463945
"FIN",2017,5.4761385253389,5.4761385253389,5.4761385253389
"FJI",2017,0.911010864483649,0.911010864483649,0.911010864483649
"FRA",2017,67.099913788098,67.099913788098,67.099913788098
"GAB",2017,1.69739075212801,1.69739075212801,1.69739075212801
"GBR",2017,64.1888427564823,64.1888427564823,64.1888427564823
"GEO",2017,4.27010853367981,4.27010853367981,4.27010853367981
"GHA",2017,28.72846958092,28.72846958092,28.72846958092
"GIN",2017,11.5260954169355,11.5260954169355,11.5260954169355
"GMB",2017,2.07790476512063,2.07790476512063,2.07790476512063
"GNB",2017,1.744661608371,1.744661608371,1.744661608371
"GNQ",2017,0.840339174584584,0.840339174584584,0.840339174584584
"GRC",2017,11.346883260649,11.346883260649,11.346883260649
"GTM",2017,17.0037538696929,17.0037538696929,17.0037538696929
"GUY",2017,0.785253925007559,0.785253925007559,0.785253925007559
"HKG",2017,7.41064746460182,7.41064746460182,7.41064746460182
"HND",2017,8.7139662885915,8.7139662885915,8.7139662885915
"HRV",2017,4.35756427112163,4.35756427112163,4.35756427112163
"HTI",2017,10.9382102661016,10.9382102661016,10.9382102661016
"HUN",2017,9.71058912231675,9.71058912231675,9.71058912231675
"IDN",2017,256.981402341045,256.981402341045,256.981402341045
"IND",2017,1353.50378423395,1353.50378423395,1353.50378423395
"IRL",2017,4.80705596553536,4.80705596553536,4.80705596553536
"IRN",2017,80.6726019235026,80.6726019235026,80.6726019235026
"IRQ",2017,38.8191209102068,38.8191209102068,38.8191209102068
"ISL",2017,0.348701200907875,0.348701200907875,0.348701200907875
"ISR",2017,8.49762388708705,8.49762388708705,8.49762388708705
"ITA",2017,60.8339748800935,60.8339748800935,60.8339748800935
"JAM",2017,2.86071321359303,2.86071321359303,2.86071321359303
"JOR",2017,7.41821570862265,7.41821570862265,7.41821570862265
"JPN",2017,124.612691317034,124.612691317034,124.612691317034
"KAZ",2017,17.2280595342213,17.2280595342213,17.2280595342213
"KEN",2017,48.6635501172772,48.6635501172772,48.6635501172772
"KGZ",2017,5.78778034923681,5.78778034923681,5.78778034923681
"KHM",2017,15.3480165000097,15.3480165000097,15.3480165000097
"KOR",2017,48.8095339048674,48.8095339048674,48.8095339048674
"KWT",2017,3.28609149449686,3.28609149449686,3.28609149449686
"LAO",2017,6.89388549961831,6.89388549961831,6.89388549961831
"LBN",2017,4.47747799758553,4.47747799758553,4.47747799758553
"LBR",2017,5.15755315596419,5.15755315596419,5.15755315596419
"LBY",2017,7.18863486342205,7.18863486342205,7.18863486342205
"LCA",2017,0.187548509658498,0.187548509658498,0.187548509658498
"LKA",2017,22.1133982893289,22.1133982893289,22.1133982893289
"LSO",2017,2.31487430933834,2.31487430933834,2.31487430933834
